,Date Created,Sentiment_pred,Mode
0,2017-10-13,"[1, 1, 1, 1, -1, -1, 1, -1, -1, -1]",1
1,2017-10-14,"[1, -1, 1, -1, 1, -1, -1, 1, 1, 1]",1
2,2017-10-15,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",1
3,2017-10-16,"[1, 1, -1, -1, -1, -1, -1, -1, -1, 1]",-1
4,2017-10-17,"[1, 1, -1, 1, 1, 1, -1, 1, -1, 1]",1
5,2017-10-18,"[-1, 1, -1, 1, -1, -1, 1, -1, -1, -1]",-1
6,2017-10-19,"[1, -1, -1, -1, -1, -1, -1, 1, 1, 1]",-1
7,2017-10-20,"[1, 1, -1, -1, -1, -1, 1, 1, 1, -1]",1
8,2017-10-21,"[-1, 1, -1, -1, 1]",-1
9,2017-10-22,"[-1, 1, 1, 1]",1
10,2017-10-23,"[1, 1, 1, 1, 1, -1, -1, 1, -1, 1]",1
11,2017-10-24,"[1, 1, 1, 1, 1, -1, 1, -1, -1, -1]",1
12,2017-10-25,"[-1, -1, -1, 1, -1, 1, 1, 1, -1, -1]",-1
13,2017-10-26,"[1, 1, 1, 1, 1, 1, -1, -1, 1, 1]",1
14,2017-10-27,"[1, -1, -1, -1, -1, -1, -1, 1, 1, 1]",-1
15,2017-10-28,"[1, -1, -1, 1, -1, 1, -1, 1, -1]",-1
16,2017-10-29,"[-1, 1, 1, 1, 1]",1
17,2017-10-30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1
18,2017-10-31,"[-1, -1, 1, -1, -1, -1, -1, -1, -1, 1]",-1
19,2017-11-01,"[1, -1, -1, -1, -1, 1, -1, -1, -1, 1]",-1
20,2017-11-02,"[1, -1, 1, -1, 1, 1, -1, -1, -1, 1]",1
21,2017-11-03,"[-1, -1, 1, -1, 1, 1, 1, 1, -1, 1]",1
22,2017-11-04,"[-1, -1, 1, 1, -1, 1, 1, -1, 1, 1]",1
23,2017-11-05,"[1, 1, -1, 1, 1, -1, -1]",1
24,2017-11-06,"[1, -1, 1, -1, -1, -1, 1, 1, -1, -1]",-1
25,2017-11-07,"[1, -1, -1, -1, 1, 1, 1, 1, -1, 1]",1
26,2017-11-08,"[-1, 1, 1, -1, 1, -1, 1, 1, 1, 1]",1
27,2017-11-09,"[1, 1, -1, 1, -1, 1, -1, 1, 1, 1]",1
28,2017-11-10,"[-1, 1, 1, 1, 1, -1, -1, -1, 1, -1]",1
29,2017-11-11,"[-1, -1, -1, 1, 1, 1, -1]",-1
30,2017-11-12,"[1, 1, 1, -1, -1, 1, 1, -1, 1, 1]",1
31,2017-11-13,"[-1, 1, 1, -1, 1, -1, -1, 1, 1, -1]",1
32,2017-11-14,"[-1, -1, 1, 1, -1, -1, 1, 1, 1, 1]",1
33,2017-11-15,"[1, -1, -1, -1, -1, -1, 1, -1, 1, -1]",-1
34,2017-11-16,"[-1, 1, -1, 1, 1, -1, -1, 1, 1, 1]",1
35,2017-11-17,"[1, 1, -1, -1, -1, -1, -1, -1, -1, 1]",-1
36,2017-11-18,"[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]",1
37,2017-11-19,"[1, -1, 1, -1, 1, 1, 1, -1, 1]",1
38,2017-11-20,"[-1, -1, -1, 1, 1, 1, 1, 1, 1, 1]",1
39,2017-11-21,"[1, 1, 1, 1, -1, 1, -1, 1, 1, 1]",1
40,2017-11-22,"[1, 1, -1, 1, 1, -1, 1, -1, 1, 1]",1
41,2017-11-23,"[1, 1, 1, 1, 1, 1, 1, -1, -1, 1]",1
42,2017-11-24,"[1, 1, 1, 1, -1, 1, 1, 1, -1, 1]",1
43,2017-11-25,"[-1, 1, -1, -1, 1, 1, 1, 1, 1, 1]",1
44,2017-11-26,"[-1, 1, 1, 1, 1, 1, 1]",1
45,2017-11-27,"[-1, 1, -1, -1, 1, 1, -1, -1, -1, -1]",-1
46,2017-11-28,"[-1, 1, 1, 1, -1, -1, 1, 1, -1, -1]",1
47,2017-11-29,"[1, -1, -1, -1, -1, -1, -1, 1, 1, 1]",-1
48,2017-11-30,"[1, -1, 1, -1, 1, 1, -1, -1, 1, 1]",1
49,2017-12-01,"[1, 1, 1, -1, -1, -1, -1, -1, -1, -1]",-1
50,2017-12-02,"[1, 1, -1, -1, -1, 1, 1, -1, -1, 1]",1
51,2017-12-03,"[1, 1, -1, 1, -1]",1
52,2017-12-04,"[-1, 1, 1, -1, 1, -1, 1, -1, -1, -1]",-1
53,2017-12-05,"[-1, -1, -1, 1, 1, 1, 1, -1, -1, -1]",-1
54,2017-12-06,"[1, -1, 1, -1, -1, -1, -1, -1, 1, -1]",-1
55,2017-12-07,"[-1, 1, 1, -1, 1, 1, -1, 1, -1, 1]",1
56,2017-12-08,"[1, 1, -1, 1, -1, -1, -1, -1, 1, 1]",1
57,2017-12-09,"[1, 1, 1, 1, 1, -1, -1, 1, 1, -1]",1
58,2017-12-10,"[1, 1, 1, -1, 1, 1, 1, 1, -1, 1]",1
59,2017-12-11,"[-1, 1, 1, 1, -1, -1, 1, 1, 1, 1]",1
60,2017-12-12,"[-1, 1, -1, -1, -1, 1, -1, -1, -1, -1]",-1
61,2017-12-13,"[1, -1, 1, 1, -1, -1, -1, -1, 1, -1]",-1
